1003	1003
1009	1003
1010	1003
1011	1003
1013	1003
1034	1033
1035	1033
1039	1033
1042	1033
1043	1033
1063	1063
1067	1063
1068	1063
1075	1063
1076	1063
1095	1094
1100	1094
1103	1094
1107	1094
1108	1094
1118	1117
1119	1117
1122	1117
1127	1117
1129	1117
1147	1147
1149	1147
1151	1147
1153	1147
1154	1147
1180	1180
1185	1180
1189	1180
1191	1180
1192	1180
1241	1240
1242	1240
1243	1240
1249	1240
1253	1240
1270	1270
1272	1270
1273	1270
1277	1270
1283	1270
1303	1300
1308	1300
1310	1300
1311	1300
1315	1300
1336	1331
1337	1331
1339	1331
1345	1331
1348	1331
1366	1363
1368	1363
1371	1363
1375	1363
1378	1363
1548	1547
1549	1547
1553	1547
1557	1547
1559	1547
1704	1701
1708	1701
1710	1701
1712	1701
1714	1701
1737	1731
1739	1731
1740	1731
1741	1731
1744	1731
1762	1761
1763	1761
1767	1761
1770	1761
1771	1761
1792	1791
1798	1791
1800	1791
1801	1791
1804	1791
2270	2250
2271	2250
2273	2250
2274	2250
2282	2250
974	970
976	970
978	970
980	970
984	970
P03	2001
P04	2001
P19	2001
P32	2001
P33	2001
